result_rank,as_of_date,stock_code,stock_name,sector,sub_sector,ai_exposure,composite_score,momentum_score,growth_score,valuation_score,quality_score,volatility_score,data_provider,provider_adjustment,liquidity_score,risk_adjusted_momentum,return_acceleration,growth_data_coverage,quality_data_coverage,rank,target_weight,position_value,recommendation,backtest_selected_count,backtest_avg_rank,backtest_avg_weight,backtest_avg_signal_score,backtest_avg_holding_return,backtest_total_contribution,backtesting_score
1,2026-05-08,002281.SZ,光迅科技,中游-光模块,光器件,高,66.48763968493046,90.0314060135311,55.00000000000001,50.0,54.12624875838732,38.802083333333336,baostock,qfq,90.2275979586033,,,0.0,0.0,2,0.0685714285714285,6.857142857142856,核心配置,2,4.5,0.0671201125929334,64.82880865033124,0.4820354911581249,0.06278268519649,48.20354911581249
2,2026-05-08,300548.SZ,长芯博创,中游-光模块,光模块+硅光,高,40.47873621607085,17.117246623540296,55.00000000000001,50.0,46.55744859246148,23.28869047619048,baostock,qfq,79.5320346289741,,,0.0,0.0,53,0.0,0.0,不配置,2,8.0,0.0624560443323284,60.34919715041398,0.3731353117255438,0.0458498903748317,37.313531172554384
3,2026-05-08,300308.SZ,中际旭创,中游-光模块,光模块龙头,高,63.381581312604126,80.70633115475849,55.00000000000001,50.0,55.30777270678287,53.94345238095239,baostock,qfq,69.63782186724767,,,0.0,0.0,6,0.0587755102040816,5.877551020408163,核心配置,2,6.5,0.0640122482604479,61.847262803513026,0.2704815173039895,0.0337375658757486,27.04815173039895
4,2026-05-08,688008.SH,澜起科技,中游-芯片,内存接口芯片,高,63.87767416712087,91.87929752915991,60.0,60.0,40.84955486822464,17.336309523809526,baostock,qfq,84.10342982347021,,,0.0,0.0,4,0.0636734693877551,6.36734693877551,核心配置,1,8.0,0.0511692068385356,65.82349533224964,0.2133294864396997,0.0109159006163915,21.332948643969974
5,2026-05-08,300502.SZ,新易盛,中游-光模块,光模块,高,48.86734895163183,51.731167749802395,55.00000000000001,50.0,42.957281201395475,16.294642857142858,baostock,qfq,73.77078100697737,,,0.0,0.0,43,0.0,0.0,不配置,1,7.0,0.0673416777276401,65.72383285725839,0.1873137024659026,0.0126140189854298,18.731370246590263
6,2026-05-08,300476.SZ,胜宏科技,上游-PCB/CCL,AI服务器PCB,高,50.96035978576904,50.04224935592228,55.00000000000001,50.0,48.07816604141766,29.427083333333336,baostock,qfq,76.39343437375496,,,0.0,0.0,38,0.0066666666666666,0.6666666666666667,观察,1,5.0,0.0645923946229364,61.73933873112502,0.0918445005936252,0.0059324562262899,9.184450059362526
7,2026-05-08,688041.SH,海光信息,中游-芯片,CPU+DCU,高,53.472208929680505,63.551546202628096,60.0,60.0,38.94580361008826,23.58630952380953,baostock,qfq,62.58953394493477,,,0.0,0.0,29,0.0066666666666666,0.6666666666666667,观察,1,7.0,0.0513455654199121,66.05036103870209,0.0912405063291139,0.0046847953866674,9.124050632911397
8,2026-05-08,002415.SZ,海康威视,下游-AI应用,安防+AI,高,46.03380272321011,22.224125695000872,50.0,50.0,59.61406609244264,81.51041666666667,baostock,qfq,42.92710129554655,,,0.0,0.0,48,0.0,0.0,不配置,2,4.0,0.074488070781569,63.05098389116209,0.0862869310682863,0.0143057424480135,8.628693106828633
9,2026-05-08,688047.SH,龙芯中科,中游-芯片,国产CPU,高,53.30405358538637,57.306731313135735,60.0,60.0,42.43253409266967,35.97470238095239,baostock,qfq,60.2805713481648,,,0.0,0.0,32,0.0066666666666666,0.6666666666666667,观察,1,10.0,0.0482258994355426,62.03725761092582,0.045659628225952,0.002201976639089,4.565962822595204
10,2026-05-08,688256.SH,寒武纪-U,中游-芯片,AI芯片设计,高,62.94122878638491,84.213707449773,60.0,60.0,44.21592172251135,33.072916666666664,baostock,qfq,75.26640540284086,,,0.0,0.0,8,0.0538775510204081,5.387755102040816,核心配置,1,9.0,0.0501743244728314,64.54368978510261,0.0373132268644387,0.0018721659518247,3.731322686443872
