,stock_name,sector,sub_sector,ai_exposure,composite_score,momentum_score,growth_score,valuation_score,quality_score,volatility_score,rank,target_weight,position_value,shares,recommendation
300624.SZ,万兴科技,下游-AI办公,数字创意软件,高,44.1456050365399,72.94161535196311,51.697952452216825,54.74676737749664,56.03238570443227,-49.67524620894493,1,0.09,9.0,0,核心配置
300594.SZ,朗进科技,上游-液冷技术,精密空调,中,43.42045345579779,68.33142243393463,51.697952452216825,54.74676737749664,56.03238570443227,-46.622413003480546,2,0.087,8.7,0,核心配置
002837.SZ,英维克,上游-液冷技术,精密温控设备,高,41.2199443748068,63.0429350969666,51.697952452216825,49.607373505642535,56.03238570443227,-46.28881550216086,3,0.08399999999999999,8.399999999999999,0,核心配置
300364.SZ,中文在线,中游-大模型,AI语料库,高,41.14830804239942,70.12256012010486,69.80944527586284,41.894633987019745,33.675329561414614,-53.123476752219204,4,0.081,8.1,0,核心配置
300308.SZ,中际旭创,中游-光模块,光模块龙头,高,40.52544434455958,55.51957011299518,51.697952452216825,54.00976722396999,56.03238570443227,-43.475170170398776,5,0.078,7.8,0,核心配置
688017.SH,绿的谐波,智能机器人,机器人减速器,高,40.39662404348815,60.25298607020126,60.753698864039826,40.28562350655477,50.443121668677854,-44.18729515438565,6,0.075,7.5,0,核心配置
688111.SH,金山办公,下游-AI办公,办公软件,高,39.888555793574454,56.93708798786341,51.697952452216825,52.36276218604187,56.03238570443227,-48.43807811950673,7,0.072,7.199999999999999,0,核心配置
300496.SZ,中科创达,下游-AI应用,智能操作系统,高,39.23877039094111,61.779766343434346,42.6422060403938,51.741867429680084,56.03238570443227,-44.75777335111535,8,0.06899999999999999,6.8999999999999995,0,核心配置
300033.SZ,同花顺,下游-AI金融,互联网金融信息,高,39.10860172250764,53.55171069147912,42.6422060403938,56.21118073719142,67.21091377594111,-51.11324623446032,9,0.066,6.6000000000000005,0,核心配置
002028.SZ,思源电气,上游-电力设备,输配电设备,中,38.818497809828564,54.30353836723361,33.58645962857079,59.28755086160713,67.21091377594111,-42.312323742008715,10,0.063,6.3,0,核心配置
002920.SZ,德赛西威,下游-智能驾驶,域控制器龙头,高,38.577704920663066,52.000370933539635,51.697952452216825,55.33267673272596,56.03238570443227,-52.80419403188942,11,0.016,1.6,0,卫星配置
301018.SZ,申菱环境,上游-液冷技术,特种空调,高,38.274780231502824,53.00951447007317,51.697952452216825,53.121676272146004,56.03238570443227,-53.92726896324114,12,0.016,1.6,0,卫星配置
300249.SZ,依米康,上游-液冷技术,精密空调,高,38.233859427742686,50.2203291520999,51.697952452216825,49.03376670905319,56.03238570443227,-43.98298862688484,13,0.016,1.6,0,卫星配置
300124.SZ,汇川技术,智能机器人,工业自动化,高,38.23051644534553,44.30922459486754,60.753698864039826,50.94567523161528,50.443121668677854,-44.89427043881484,14,0.016,1.6,0,卫星配置
688047.SH,龙芯中科,中游-芯片,国产CPU,高,38.07153367277183,51.342855356508515,60.753698864039826,46.178678450512045,44.85385763292345,-45.27472412416893,15,0.016,1.6,0,卫星配置
300383.SZ,光环新网,中游-数据平台,IDC运营+云服务,高,38.02278638079625,53.660126590780955,42.6422060403938,55.59943600881812,56.03238570443227,-43.9037477527322,16,0.016,1.6,0,卫星配置
002230.SZ,科大讯飞,中游-大模型,智能语音+AI大模型,高,37.96827723000441,52.24138112858859,69.80944527586284,41.894633987019745,33.675329561414614,-43.90730578447591,17,0.016,1.6,0,卫星配置
300607.SZ,拓斯达,智能机器人,工业机器人,高,37.62488277629342,50.46675153174522,60.753698864039826,41.96453830595534,50.443121668677854,-48.6686329863344,18,0.016,1.6,0,卫星配置
